restaurant_id,rate,votes
28496,"""3.6 /5""",16
29601,"""4.2 /5""",1704
41386,"""4.3 /5""",522
35212,"""4.1 /5""",205
136,,0
22623,,0
11725,"""4.3/5""",148
16416,"""3.1/5""",36
34510,"""3.6 /5""",42
31034,"""3.6 /5""",11
37186,"""4.0 /5""",47
48776,"""4.5 /5""",1611
14749,"""3.6/5""",54
41553,"""4.1 /5""",426
4580,"""3.9/5""",146
36747,"""4.2 /5""",768
45662,"""3.1 /5""",47
10048,,0
9669,"""3.4/5""",5
28317,"""4.5 /5""",256
5862,"""3.5/5""",19
15664,"""3.9/5""",39
25252,"""4.0/5""",51
42597,"""4.1 /5""",486
22658,"""3.8/5""",117
37203,"""3.7 /5""",34
35044,"""4.2 /5""",701
24465,,0
44455,"""4.0 /5""",539
20746,"""3.6/5""",22
36888,"""3.4 /5""",7
9147,"""3.8/5""",331
134,,0
18226,"""2.7/5""",29
15883,"""3.8/5""",45
13582,,0
20453,"""4.2/5""",2618
46899,"""3.6 /5""",110
44192,"""3.5 /5""",45
49417,,0
37287,"""3.5 /5""",14
17220,"""NEW""",0
25501,"""3.9/5""",375
5299,"""3.4/5""",16
4631,"""3.4/5""",17
26342,"""3.6 /5""",21
12501,"""3.2/5""",5
28880,,0
21813,"""3.3/5""",14
29102,"""NEW""",0
36109,"""3.3 /5""",7
4825,"""4.3/5""",754
13165,"""3.5/5""",10
